Codigo_ID,Categoria,Tipo_Pieza,Material,Diametro_mm,Diametro_pulg,Resistencia,Union,Peso_valor,Peso_unidad,Precio_sin_IVA_CLP,Origen_precio,Descripcion
01-01-001-001-014,Tuberias,Tuberia,Acero carbono,13,1/4,STD,S/R,0.63,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 13,7 mm (1/4"") STD L = 6 m"
01-01-001-040-014,Tuberias,Tuberia,Acero carbono,13,1/4,SCH40,S/R,0.63,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 13,7 mm (1/4"") SCH40 L = 6 m"
01-01-001-081-014,Tuberias,Tuberia,Acero carbono,13,1/4,XS,S/R,0.8,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 13,7 mm (1/4"") XS L = 6 m"
01-01-001-080-014,Tuberias,Tuberia,Acero carbono,13,1/4,SCH80,S/R,0.8,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 13,7 mm (1/4"") SCH80 L = 6 m"
01-01-001-001-017,Tuberias,Tuberia,Acero carbono,17,3/8,STD,S/R,0.84,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 17,1 mm (3/8"") STD L = 6 m"
01-01-001-040-017,Tuberias,Tuberia,Acero carbono,17,3/8,SCH40,S/R,0.84,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 17,1 mm (3/8"") SCH40 L = 6 m"
01-01-001-081-017,Tuberias,Tuberia,Acero carbono,17,3/8,XS,S/R,1.1,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 17,1 mm (3/8"") XS L = 6 m"
01-01-001-080-017,Tuberias,Tuberia,Acero carbono,17,3/8,SCH80,S/R,1.1,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 17,1 mm (3/8"") SCH80 L = 6 m"
01-01-001-001-021,Tuberias,Tuberia,Acero carbono,21,1/2,STD,S/R,1.27,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 21,3 mm (1/2"") STD L = 6 m"
01-01-001-040-021,Tuberias,Tuberia,Acero carbono,21,1/2,SCH40,S/R,1.27,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 21,3 mm (1/2"") SCH40 L = 6 m"
01-01-001-081-021,Tuberias,Tuberia,Acero carbono,21,1/2,XS,S/R,1.62,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 21,3 mm (1/2"") XS L = 6 m"
01-01-001-080-021,Tuberias,Tuberia,Acero carbono,21,1/2,SCH80,S/R,1.62,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 21,3 mm (1/2"") SCH80 L = 6 m"
01-01-001-160-021,Tuberias,Tuberia,Acero carbono,21,1/2,SCH160,S/R,1.95,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 21,3 mm (1/2"") SCH160 L = 6 m"
01-01-001-001-027,Tuberias,Tuberia,Acero carbono,26,3/4,STD,S/R,1.69,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 26,7 mm (3/4"") STD L = 6 m"
01-01-001-040-027,Tuberias,Tuberia,Acero carbono,26,3/4,SCH40,S/R,1.69,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 26,7 mm (3/4"") SCH40 L = 6 m"
01-01-001-081-027,Tuberias,Tuberia,Acero carbono,26,3/4,XS,S/R,2.2,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 26,7 mm (3/4"") XS L = 6 m"
01-01-001-080-027,Tuberias,Tuberia,Acero carbono,26,3/4,SCH80,S/R,2.2,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 26,7 mm (3/4"") SCH80 L = 6 m"
01-01-001-160-027,Tuberias,Tuberia,Acero carbono,26,3/4,SCH160,S/R,2.9,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 26,7 mm (3/4"") SCH160 L = 6 m"
01-01-001-001-033,Tuberias,Tuberia,Acero carbono,33,1,STD,S/R,2.5,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 33,4 mm (1"") STD L = 6 m"
01-01-001-040-033,Tuberias,Tuberia,Acero carbono,33,1,SCH40,S/R,2.5,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 33,4 mm (1"") SCH40 L = 6 m"
01-01-001-081-033,Tuberias,Tuberia,Acero carbono,33,1,XS,S/R,3.24,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 33,4 mm (1"") XS L = 6 m"
01-01-001-080-033,Tuberias,Tuberia,Acero carbono,33,1,SCH80,S/R,3.24,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 33,4 mm (1"") SCH80 L = 6 m"
01-01-001-160-033,Tuberias,Tuberia,Acero carbono,33,1,SCH160,S/R,4.24,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 33,4 mm (1"") SCH160 L = 6 m"
01-01-001-001-042,Tuberias,Tuberia,Acero carbono,42,1 1/4,STD,S/R,3.39,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 42,2 mm (1 1/4"") STD L = 6 m"
01-01-001-040-042,Tuberias,Tuberia,Acero carbono,42,1 1/4,SCH40,S/R,3.39,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 42,2 mm (1 1/4"") SCH40 L = 6 m"
01-01-001-081-042,Tuberias,Tuberia,Acero carbono,42,1 1/4,XS,S/R,4.47,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 42,2 mm (1 1/4"") XS L = 6 m"
01-01-001-080-042,Tuberias,Tuberia,Acero carbono,42,1 1/4,SCH80,S/R,4.47,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 42,2 mm (1 1/4"") SCH80 L = 6 m"
01-01-001-160-042,Tuberias,Tuberia,Acero carbono,42,1 1/4,SCH160,S/R,5.61,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 42,2 mm (1 1/4"") SCH160 L = 6 m"
01-01-001-001-048,Tuberias,Tuberia,Acero carbono,48,1 1/2,STD,S/R,4.05,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 48,3 mm (1 1/2"") STD L = 6 m"
01-01-001-040-048,Tuberias,Tuberia,Acero carbono,48,1 1/2,SCH40,S/R,4.05,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 48,3 mm (1 1/2"") SCH40 L = 6 m"
01-01-001-081-048,Tuberias,Tuberia,Acero carbono,48,1 1/2,XS,S/R,5.41,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 48,3 mm (1 1/2"") XS L = 6 m"
01-01-001-080-048,Tuberias,Tuberia,Acero carbono,48,1 1/2,SCH80,S/R,5.41,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 48,3 mm (1 1/2"") SCH80 L = 6 m"
